rs10004195	Lesion of stomach
rs28451617	Respiratory Distress Syndrome, Adult
rs28451617	Respiratory Distress Syndrome, Newborn
rs28493229	Aneurysm
rs28493229	Mucocutaneous Lymph Node Syndrome
rs2850328	Breast Carcinoma
rs2850328	Malignant neoplasm of breast
rs2853668	Colon Carcinoma
rs2853668	Malignant tumor of colon
rs2853669	Breast Carcinoma
rs2853669	Malignant neoplasm of breast
rs2853669	Malignant neoplasm of prostate
rs2853669	Prostate carcinoma
rs2853669	Recurrent tumor
rs2853676	Adenocarcinoma
rs2853676	Adenocarcinoma of lung (disorder)
rs2853676	Adult type dermatomyositis
rs2853676	Carcinoma of lung
rs2853676	Colonic Polyps
rs2853676	Dermatomyositis
rs2853676	Diabetes Mellitus
rs2853676	Glioma
rs2853676	Malignant neoplasm of lung
rs2853676	melanoma
rs2853676	Nicotine Dependence
rs2853676	Polymyositis
rs2853676	Squamous cell carcinoma
rs2853677	Adenocarcinoma of lung (disorder)
rs2853677	Breast Carcinoma
rs2853677	Malignant neoplasm of breast
rs2853707	Age related macular degeneration
rs2853707	Obesity
rs2854116	Fatty Liver
rs2854116	Non-alcoholic Fatty Liver Disease
rs2854344	Malignant neoplasm of ovary
rs2854344	Ovarian Carcinoma
rs2854482	Breast Carcinoma
rs2854482	Malignant neoplasm of breast
rs2854744	Carcinoma of bladder
rs2854744	Colon Carcinoma
rs2854744	Erectile dysfunction
rs2854744	Malignant neoplasm of ovary
rs2854744	Malignant neoplasm of urinary bladder
rs2854744	Malignant tumor of colon
rs2854744	Ovarian Carcinoma
rs2855192	Malignant neoplasm of ovary
rs2855192	Ovarian Carcinoma
rs2855429	Lymphoma, Follicular
rs2855429	Lymphoma, Large-Cell, Follicular
rs2855429	Lymphoma, Non-Hodgkin
rs2855658	Gastrointestinal Stromal Tumors
rs2856718	Hepatitis B
rs2856718	Hepatitis B, Chronic
rs2856718	Lupus Erythematosus, Systemic
rs2856836	Ankylosing spondylitis
rs2857461	Nephroblastoma
rs2857656	Carotid Atherosclerosis
rs2857656	Coronary Arteriosclerosis
rs2857656	Coronary Artery Disease
rs2857656	Coronary heart disease
rs2857656	Ischemic Cerebrovascular Accident
rs2857656	Ischemic stroke
rs2857656	Tuberculosis
rs2857656	Tuberculosis, Spinal
rs2857766	Atrial Septal Defects
rs2857766	Osteochondritis Dissecans
rs2857766	Psychotic Disorders
rs2858056	Rheumatoid Arthritis
rs2858056	Superficial ulcer
rs2858829	Ulcerative Colitis
rs2858884	Narcolepsy
rs2858996	Hemochromatosis
rs2859998	Cataplexy
rs2859998	Excessive daytime somnolence
rs2859998	Narcolepsy-Cataplexy Syndrome
rs2862954	Fatty Liver
rs286499	Chronic Obstructive Airway Disease
rs2865531	Coronary Artery Disease
rs2865531	Pulmonary function (finding)
rs28665122	Asthma
rs28665122	Dermatitis, Atopic
rs28665122	Diabetes Mellitus, Insulin-Dependent
rs28665122	Eczema
rs2868371	Non-Small Cell Lung Carcinoma
rs2868371	Pneumonia
rs2868371	Pneumonitis
rs2868371	Rash and Dermatitis Adverse Event Associated with Chemoradiation
rs2871776	impaired motor coordination
rs2872507	Allergic asthma
rs2872507	Asthma
rs2872507	Crohn Disease
rs2872507	Diabetes Mellitus, Insulin-Dependent
rs2872507	Rheumatoid Arthritis
rs2872507	Ulcerative Colitis
rs28757218	SCHIZOPHRENIA 15
rs28777	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 2 (disorder)
rs2881766	Breast Carcinoma
rs2881766	Malignant neoplasm of breast
rs2883187	Obsessive-Compulsive Disorder
rs28932472	Obesity
rs28932472	Overweight
rs2895680	Carcinoma of lung
rs2895680	Malignant neoplasm of lung
rs2896019	Non-alcoholic Fatty Liver Disease
rs2896218	Autism Spectrum Disorders
rs29001322	Osteosarcoma
rs29001322	Osteosarcoma of bone
rs2900180	Rheumatoid Arthritis
rs2900333	Testicular Germ Cell Tumor
rs2900333	Testicular malignant germ cell tumor
rs2900333	Testicular Neoplasms
rs290227	Dementia, Vascular
rs2903692	Autoimmune thyroid disease
rs2903692	Diabetes
rs2903692	Diabetes Mellitus
rs2903692	Diabetes Mellitus, Insulin-Dependent
rs2903692	Diabetes Mellitus, Non-Insulin-Dependent
rs2903692	Multiple Sclerosis
rs2903692	Rheumatoid Arthritis
rs290487	Diabetes Mellitus, Non-Insulin-Dependent
rs2910164	Acute GVH disease
rs2910164	Anthracosis
rs2910164	Arteriosclerosis
rs2910164	Atherosclerosis
rs2910164	Autoimmune Diseases
rs2910164	Breast Carcinoma
rs2910164	Cancer of Head and Neck
rs2910164	Carcinogenesis
rs2910164	Carcinoma of bladder
rs2910164	Carcinoma of lung
rs2910164	Cardiomyopathy, Dilated
rs2910164	Cerebrovascular accident
rs2910164	Colorectal Cancer
rs2910164	Colorectal Carcinoma
rs2910164	Coronary Artery Disease
rs2910164	Coronary heart disease
rs2910164	Diffuse Large B-Cell Lymphoma
rs2910164	Esophageal carcinoma
rs2910164	Esophageal Neoplasms
rs2910164	Febrile Convulsions
rs2910164	Gastritis
rs2910164	Gastritis, Atrophic
rs2910164	Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site
rs2910164	Hirschsprung Disease
rs2910164	Hirschsprung disease 1
rs2910164	IGA Glomerulonephritis
rs2910164	Immune thrombocytopenic purpura
rs2910164	Inflammatory Bowel Diseases
rs2910164	Ischemic Cerebrovascular Accident
rs2910164	Ischemic stroke
rs2910164	Juvenile idiopathic arthritis, enthesitis related arthritis
rs2910164	Kidney Failure, Chronic
rs2910164	Leprosy
rs2910164	Leukemia, Lymphocytic, Acute, L1
rs2910164	Lip and Oral Cavity Carcinoma
rs2910164	Liver carcinoma
rs2910164	Malignant neoplasm of breast
rs2910164	Malignant neoplasm of esophagus
rs2910164	Malignant neoplasm of gastrointestinal tract
rs2910164	Malignant neoplasm of liver
rs2910164	Malignant neoplasm of lung
rs2910164	Malignant neoplasm of ovary
rs2910164	Malignant neoplasm of stomach
rs2910164	Malignant neoplasm of urinary bladder
rs2910164	melanoma
rs2910164	Metabolic Syndrome X
rs2910164	Myocardial Infarction
rs2910164	Non-Small Cell Lung Carcinoma
rs2910164	Oral Cavity Carcinoma
rs2910164	Ovarian Carcinoma
rs2910164	Overweight
rs2910164	Papillary thyroid carcinoma
rs2910164	Peptic Ulcer
rs2910164	Psoriasis
rs2910164	Renal Cell Carcinoma
rs2910164	Rheumatoid Arthritis
rs2910164	Sepsis
rs2910164	Septicemia
rs2910164	Squamous cell carcinoma
rs2910164	Squamous cell carcinoma of esophagus
rs2910164	Squamous cell carcinoma of oropharynx
rs2910164	Squamous cell carcinoma of the head and neck
rs2910164	stage, non-small cell lung cancer
rs2910164	Stomach Carcinoma
rs2910164	Ulcerative Colitis
rs2910397	Ovarian Diseases
rs2915863	Asthma
rs2915863	Wheezing
rs2916733	Leukopenia
rs2916733	Neutropenia
rs2917454	Amyotrophic Lateral Sclerosis
rs2917454	Craniosynostosis
rs2917666	Asthma
rs2918419	Metabolic Syndrome X
rs2918419	Obesity
rs2920502	Epilepsy
rs29232	Nasopharyngeal carcinoma
rs293795	Ewings sarcoma-primitive neuroectodermal tumor (PNET)
rs293795	Extraosseous Ewings sarcoma-primitive neuroepithelial tumor
rs293795	Neuroectodermal Tumor, Primitive
rs293795	Squamous cell carcinoma of esophagus
rs2942168	Parkinson Disease
rs2942168	Parkinsonian Disorders
rs2943641	Coronary Artery Disease
rs2943641	Diabetes Mellitus, Non-Insulin-Dependent
rs2943641	Obesity
rs2943641	Overweight
rs2944829	Schizophrenia
rs2946834	Colorectal Cancer
rs2946834	Colorectal Carcinoma
rs2946834	stage, prostate cancer
rs295301	Creutzfeldt-Jakob disease
rs2960306	Cerebrovascular accident
rs2960306	Essential Hypertension
rs2960306	Hypertensive disease
rs2960306	Myocardial Infarction
rs2965169	Coronary Artery Disease
rs2969180	Myopia
rs2969180	Refractive Errors
rs2972146	Coronary Artery Disease
rs297325	Obesity
rs2976392	Gastric Adenocarcinoma
rs2976392	Gastritis
rs2976392	Malignant neoplasm of stomach
rs2976392	Stomach Carcinoma
rs29784	Pyloric Stenosis, Hypertrophic
rs2978974	Gallbladder Carcinoma
rs2981575	Breast Carcinoma
rs2981575	Malignant neoplasm of breast
rs2981578	Malignant neoplasm of breast
rs2981582	Breast Carcinoma
rs2981582	Carcinoma of Male Breast
rs2981582	Malignant neoplasm of breast
rs2981582	Malignant neoplasm of male breast
rs2981582	Malignant neoplasm of ovary
rs2981582	Mammographic Density
rs2981582	Ovarian Carcinoma
rs2981745	Breast Carcinoma
rs2981745	Malignant neoplasm of breast
rs2986017	Alzheimer's Disease
rs2986017	Cerebrovascular accident
rs2986017	Communication impairment
rs2986017	Dementia
rs2986017	Presenile dementia
rs29941	Colorectal Cancer
rs29941	Colorectal Carcinoma
rs29941	Obesity
rs300774	Suicide attempt
rs3011225	Amyotrophic Lateral Sclerosis
rs301430	Autism Spectrum Disorders
rs301430	Obsessive compulsive behavior
rs301430	Osteochondritis Dissecans
rs301443	Obsessive-Compulsive Disorder
rs301443	Osteochondritis Dissecans
rs3017887	Hepatitis C
rs3017887	Metabolic Syndrome X
rs3018362	Obesity
rs3018362	Osteitis Deformans
rs3018362	Paget's Disease
rs30187	Ankylosing spondylitis
rs30187	Autoimmune Diseases
rs30187	Essential Hypertension
rs30187	Hypertensive disease
rs30187	Spondylarthritis
rs3019885	Aortic Aneurysm
rs3019885	Aortic Aneurysm, Abdominal
rs3019885	Asthma
rs3020450	HIV Infections
rs3020450	Lipoatrophy
rs3020450	Lipodystrophy
rs3020450	Malignant neoplasm of ovary
rs3020450	Metabolic Syndrome X
rs3020450	Ovarian Carcinoma
rs3021097	Hepatitis C
rs3024505	Colorectal Cancer
rs3024505	Colorectal Carcinoma
rs3024505	Crohn Disease
rs3024505	Diabetes Mellitus, Insulin-Dependent
rs3024505	Drug usage
rs3024505	Ulcerative Colitis
rs30245983	Adenoma of lung
rs3024647	Hay fever
rs3024656	cervical cancer squamous cell
rs3024944	Malaria
rs3024975	Eczema Herpeticum
rs3024979	Breast Carcinoma
rs3024979	Malignant neoplasm of breast
rs3025039	Age related macular degeneration
rs3025039	Breast Carcinoma
rs3025039	Duodenal Ulcer
rs3025039	Early-Stage Breast Carcinoma
rs3025039	Hypothyroidism
rs3025039	Lip and Oral Cavity Carcinoma
rs3025039	Malignant neoplasm of breast
rs3025039	Malignant neoplasm of mouth
rs3025039	Mucocutaneous Lymph Node Syndrome
rs3025058	Aneurysm
rs3025058	Aortic Aneurysm
rs3025058	Carcinoma of lung
rs3025058	Malignant neoplasm of lung
rs3025058	Moyamoya Disease
rs3025058	Moyamoya disease 1
rs3025058	Myocardial Infarction
rs302668	Frontotemporal dementia
rs3027172	Alcoholic Intoxication, Chronic
rs3027172	heavy drinking
rs3027178	Liver carcinoma
rs3027898	Cerebral Infarction
rs3027898	Cerebrovascular accident
rs3027898	Lupus Erythematosus, Systemic
rs3027898	Rheumatoid Arthritis
rs3027898	Subarachnoid Hemorrhage
rs3045215	Coronary Arteriosclerosis
rs3045215	Coronary Artery Disease
rs3045215	Coronary heart disease
rs30461	Aggressive periodontitis, generalized
rs30461	Periodontitis
rs305217	Autoimmune Diseases
rs305217	Multiple Sclerosis
rs3060	Dyslipidemias
rs3077	Hepatitis B
rs3077	Hepatitis B, Chronic
rs3077	Liver carcinoma
rs3077	Persistent infection
rs3087243	Autoimmune Diseases
rs3087243	Autoimmune thyroid disease
rs3087243	Diabetes Mellitus, Insulin-Dependent
rs3087243	Generalized vitiligo
rs3087243	Graves Disease
rs3087243	Hashimoto Disease
rs3087243	Inflammatory Bowel Diseases
rs3087243	Osteosarcoma
rs3087243	Osteosarcoma of bone
rs3087243	Rheumatoid Arthritis
rs3087243	Wheezing
rs3087403	Leukopenia
rs3087403	Neutropenia
rs3087456	Autoimmune Diseases
rs3087456	Multiple Sclerosis
rs3087456	Myocardial Infarction
rs3087456	Rheumatoid Arthritis
rs3087459	Acute Coronary Syndrome
rs3087465	Congenital Heart Defects
rs3087869	Uterine Fibroids
rs3088440	Cervix carcinoma
rs3088440	Malignant tumor of cervix
rs3088440	melanoma
rs3088442	Coronary Arteriosclerosis
rs3088442	Coronary heart disease
rs3091244	Aortic Aneurysm, Abdominal
rs3091244	Fatigue
rs3091244	Obesity
rs3091244	Senile Plaques
rs3092856	Leukemia, Myelocytic, Acute
rs3093023	Rheumatoid Arthritis
rs3093024	Psoriasis
rs3093024	Rheumatoid Arthritis
rs3093030	Lupus Erythematosus, Systemic
rs3093068	Cardiovascular Diseases
rs3093075	Cerebral Small Vessel Diseases
rs3093075	Colon Carcinoma
rs3093075	Malignant tumor of colon
rs3093075	Senile Plaques
rs3093301	Hepatitis B
rs3093457	Rheumatoid Arthritis
rs3093467	Alzheimer's Disease
rs3093662	Delayed Graft Function
rs3093662	Tuberculosis
rs3094626	HIV Infections
rs3099844	Lupus Erythematosus, Systemic
rs3099844	Lupus Vulgaris
rs3099844	Metabolic Syndrome X
rs3099844	Pericarditis
rs3102735	Hyperparathyroidism, Primary
rs3104746	Breast Carcinoma
rs3104746	Malignant neoplasm of breast
rs3106189	Colorectal Cancer
rs3106189	Colorectal Carcinoma
rs310746	Systemic Scleroderma
rs311499	Breast Carcinoma
rs311499	Malignant neoplasm of breast
rs3116496	Multiple malignancy
rs3117027	Cervix carcinoma
rs3117027	Malignant tumor of cervix
rs3117582	Adenocarcinoma of lung (disorder)
rs3117582	Carcinoma of lung
rs3117582	Degenerative polyarthritis
rs3117582	Malignant neoplasm of lung
rs3117582	Non-Small Cell Lung Carcinoma
rs3117582	Osteoarthritis of hip
rs3117582	Smoker's lung
rs3117582	Tuberculosis
rs3117604	Ischemic Cerebrovascular Accident
rs3117604	Ischemic stroke
rs3118470	Addison's disease due to autoimmunity
rs3118470	Alopecia Areata
rs3118470	Autoimmune Primary Adrenal Insufficiency
rs3118470	Autoimmune thyroid disease
rs3118470	Diabetes Mellitus, Insulin-Dependent
rs3118470	Graves Disease
rs3118470	Multiple Sclerosis
rs3118470	Thyroiditis
rs3124591	Breast Carcinoma
rs3124591	Cardiomyopathy, Familial Idiopathic
rs3124591	Invasive Ductal Breast Carcinoma
rs3124591	Malignant neoplasm of breast
rs3124591	Noninfiltrating Intraductal Carcinoma
rs3127075	Adenocarcinoma Of Esophagus
rs3127334	Spina Bifida
rs3128965	Aspirin-sensitive asthma with nasal polyps
rs3129871	Multiple Sclerosis
rs3129878	Azoospermia, Nonobstructive
rs3129882	Parkinson Disease
rs3129882	Systemic Scleroderma
rs3129900	Drug-Induced Liver Injury
rs3129900	Multiple Sclerosis
rs3129934	Multiple Sclerosis
rs3130297	Bipolar Disorder
rs3130297	Schizophrenia
rs3130340	Osteoporosis
rs3130342	Lupus Erythematosus, Systemic
rs3130501	Multiple Sclerosis
rs3130501	Stevens-Johnson Syndrome
rs3130573	Sclerosis
rs3130573	Systemic Scleroderma
rs3130932	Breast Carcinoma
rs3130932	Malignant neoplasm of breast
rs3131296	Lupus Erythematosus, Systemic
rs3131296	Schizophrenia
rs3131379	Lupus Erythematosus
rs3131379	Lupus Erythematosus, Discoid
rs3131379	Lupus Erythematosus, Systemic
rs3131379	Lupus Vulgaris
rs3131379	Lymphoma, Large-Cell, Follicular
rs3131379	Lymphoma, Non-Hodgkin
rs3132453	Lymphoma, Large-Cell, Follicular
rs3132468	Dengue Fever
rs3132468	Dengue Shock Syndrome
rs3134613	Malignant neoplasm of stomach
rs3134613	Stomach Carcinoma
rs3134615	Breast Carcinoma
rs3134615	Carcinoma of lung
rs3134615	Malignant neoplasm of breast
rs3134615	Malignant neoplasm of lung
rs3135363	Hepatitis B, Chronic
rs3135363	Liver Cirrhosis
rs3135388	Leukemia, Lymphocytic, Acute, L1
rs3135388	Multiple Sclerosis
rs3135388	Psoriasis vulgaris
rs3135506	Arteriosclerosis
rs3135506	Atherosclerosis
rs3135506	Cerebrovascular accident
rs3135506	Coronary Arteriosclerosis
rs3135506	Coronary Artery Disease
rs3135506	Coronary heart disease
rs3135506	Diabetes
rs3135506	Diabetes Mellitus
rs3135506	Hashimoto Disease
rs3135506	HIV Infections
rs3135506	Hyperlipoproteinemia Type I
rs3135506	Hypertensive disease
rs3135506	Ischemic Cerebrovascular Accident
rs3135506	Ischemic stroke
rs3135506	Metabolic Syndrome X
rs3135506	Obesity
rs3136534	Addison's disease due to autoimmunity
rs3136534	Autoimmune Diseases
rs3136534	Autoimmune Primary Adrenal Insufficiency
rs3136534	Malignant neoplasm of prostate
rs3136534	Multiple Sclerosis
rs3136534	Prostate carcinoma
rs3136820	Carcinoma of bladder
rs3136820	Malignant neoplasm of urinary bladder
rs3138035	Malignant Squamous Cell Neoplasm
rs3138035	Non-Small Cell Lung Carcinoma
rs3138035	Squamous cell carcinoma
rs3138053	Respiratory Syncytial Virus Infections
rs3138355	Squamous cell carcinoma of esophagus
rs314277	Colorectal Cancer
rs314277	Colorectal Carcinoma
rs314280	Non-Small Cell Lung Carcinoma
rs31480	Graves Disease
rs31489	Adenocarcinoma of lung (disorder)
rs31489	Carcinoma of lung
rs31489	Lung Neoplasms
rs31489	Malignant neoplasm of lung
rs31489	Nicotine Dependence
rs31490	Chronic Lymphocytic Leukemia
rs31490	Malignant neoplasm of pancreas
rs31563	Alzheimer's Disease
rs31563	Esophageal carcinoma
rs31563	Esophageal Neoplasms
rs31563	Malignant neoplasm of esophagus
rs315934	carotid disease
rs315951	Acute Coronary Syndrome
rs315952	Ankylosing spondylitis
rs315952	Chronic kidney disease stage 5
rs315952	Kidney Diseases
rs315952	Kidney Failure, Chronic
rs315952	Lupus Erythematosus, Systemic
rs315952	Multiple Sclerosis
rs315952	Respiratory Distress Syndrome, Adult
rs3173615	Frontotemporal dementia
rs3173615	Motor Neuron Disease
rs3173615	Pick Disease of the Brain
rs3176352	Cervix carcinoma
rs3176352	Esophageal carcinoma
rs3176352	Esophageal Neoplasms
rs3176352	Malignant neoplasm of esophagus
rs3176352	Malignant tumor of cervix
rs3176352	Squamous cell carcinoma of esophagus
rs3176867	Cardiovascular Diseases
rs3181224	Cervical Squamous Cell Carcinoma
rs3184504	Antiphospholipid Syndrome
rs3184504	Blood pressure finding
rs3184504	Carcinoma of lung
rs3184504	Coronary Artery Disease
rs3184504	Coronary heart disease
rs3184504	Diabetes Mellitus, Insulin-Dependent
rs3184504	Disorder characterized by eosinophilia
rs3184504	Eosinophilia
rs3184504	Eosinophilic disorder
rs3184504	Hepatitis, Autoimmune
rs3184504	Hypothyroidism
rs3184504	Malignant neoplasm of lung
rs3184504	Rheumatoid Arthritis
rs3184504	Systemic arterial pressure
rs319690	Blood pressure finding
rs319690	Systemic arterial pressure
rs3197744	Oligospermia
rs3197999	Cholangitis, Sclerosing
rs3197999	Crohn Disease
rs3197999	Inflammatory Bowel Diseases
rs3197999	Primary sclerosing cholangitis
rs3197999	Ulcerative Colitis
rs3204689	Degenerative polyarthritis
rs3205166	Dengue Fever
rs3205166	Measles
rs320	Obesity
rs3211956	Exercise-induced angina
rs3212227	Adenocarcinoma
rs3212227	Arthritis, Psoriatic
rs3212227	Asthma
rs3212227	Chronic small plaque psoriasis
rs3212227	Esophageal carcinoma
rs3212227	Esophageal Neoplasms
rs3212227	Malignant neoplasm of esophagus
rs3212227	Measles
rs3212227	Osteosarcoma
rs3212227	Osteosarcoma of bone
rs3212227	Psoriasis
rs3212227	Psoriasis vulgaris
rs3212986	Anemia
rs3212986	Carcinogenesis
rs3212986	Colorectal Cancer
rs3212986	Colorectal cancer metastatic
rs3212986	Colorectal Carcinoma
rs3212986	Esophageal carcinoma
rs3212986	Esophageal Neoplasms
rs3212986	Glioma
rs3212986	Infusion related reaction
rs3212986	Malignant neoplasm of esophagus
rs3212986	Neuropathy
rs3212986	Non-Small Cell Lung Carcinoma
rs3212986	Osteosarcoma
rs3212986	Osteosarcoma of bone
rs3212986	Xeroderma Pigmentosum, Complementation Group D
